         4658 function calls (4644 primitive calls) in 6.893 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 contextlib.py:108(__init__)
       20    0.000    0.000    0.000    0.000 _conninfo_utils.py:100(get_param_def)
       40    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        3    0.000    0.000    0.000    0.000 _queries.py:134(validate_and_reorder_params)
        1    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
       10    0.000    0.000    0.000    0.000 pp.py:12(get)
        5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        8    0.000    0.000    0.000    0.000 _connection_base.py:519(_check_connection_ok)
        5    0.000    0.000    0.000    0.000 dbmanager.py:43(close)
        3    0.000    0.000    0.000    0.000 _preparing.py:124(maybe_add_to_cache)
        1    0.000    0.000    0.000    0.000 _connection_base.py:152(__repr__)
       13    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {built-in method nt._getfullpathname}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        5    0.000    0.000    0.000    0.000 selectors.py:213(__init__)
       38    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
       18    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot_ex}
       10    0.000    0.000    0.000    0.000 _connection_base.py:157(closed)
       12    0.000    0.000    0.000    0.000 configparser.py:1385(__iter__)
       46    0.000    0.000    0.000    0.000 configparser.py:577(<genexpr>)
       10    0.000    0.000    0.000    0.000 configparser.py:413(before_get)
        3    0.000    0.000    0.000    0.000 _preparing.py:97(_check_results)
        3    0.000    0.000    0.000    0.000 _cursor_base.py:517(_set_results)
       20    0.000    0.000    0.000    0.000 __init__.py:1000(__init__)
       29    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    2.524    2.524 director.py:59(execute_operation_handler)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:580(abspath)
        1    0.000    0.000    0.000    0.000 uuid.py:44(load)
       10    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        5    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
       15    0.000    0.000    0.000    0.000 <frozen os>:779(check_str)
        7    0.000    0.000    0.000    0.000 _adapters_map.py:189(get_dumper)
